"fkMetrica","horario","valorLido","fkComponente_idComponente","fkComponente_fkServidor"
1,"2022-11-26 15:18:28",18.40,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:33",4.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:38",1.70,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:43",3.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:48",11.00,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:53",8.80,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:18:58",1.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:03",39.30,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:08",22.50,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:13",54.90,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:18",14.90,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:23",26.40,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:28",39.80,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:33",28.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:38",35.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:43",3.90,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:49",93.60,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:53",37.80,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:19:59",56.80,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:04",1.30,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:09",10.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:14",2.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:19",20.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:24",6.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:29",12.80,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:34",15.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:39",11.10,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:44",5.90,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:49",25.90,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:54",29.70,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:20:59",54.60,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:04",66.70,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:09",17.40,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:14",68.60,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:19",71.60,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:24",66.20,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:29",50.50,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:34",50.30,3,"10:5b:ad:fa:55:af"
1,"2022-11-26 15:21:39",30.50,3,"10:5b:ad:fa:55:af"
