"idComponente";"idServidor";"horario";"valorLido";"unidadeMedida"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:32";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:27";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:22";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:17";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:12";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:07";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:22:02";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:57";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:52";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:47";60.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:42";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:37";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:32";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:27";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:22";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:16";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:11";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:06";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:21:01";48.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:56";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:51";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:46";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:41";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:36";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:31";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:26";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:21";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:16";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:11";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:20:06";43.0;"°C"
