"fkMetrica","idComponente","idServidor","horario","valorLido"
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 00:00:00",39
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 01:54:45",40
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 03:49:30",43
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 05:44:16",40
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 07:39:01",45
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 09:33:46",42
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 11:28:32",43
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 13:23:17",44
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 15:18:02",43
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 17:12:48",60
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 19:07:33",42
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 21:02:18",41
4,2,"5c:cd:5b:bf:96:a4","01/10/2022 22:57:04",41
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 00:51:49",42
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 02:46:34",42
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 04:41:20",41
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 06:36:05",42
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 08:30:50",41
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 10:25:36",48
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 12:20:21",40
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 14:15:06",40
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 16:09:52",40
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 18:04:37",41
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 19:59:22",40
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 21:54:08",40
4,2,"5c:cd:5b:bf:96:a4","02/10/2022 23:48:53",42
4,2,"5c:cd:5b:bf:96:a4","03/10/2022 01:43:38",41
4,2,"5c:cd:5b:bf:96:a4","03/10/2022 03:38:24",44
