"idServidor","horario","valorLido"
"10:5b:ad:fa:55:af","2022-07-01 00:00:00",68.6
"10:5b:ad:fa:55:af","2022-07-01 01:53:19",50.5
"10:5b:ad:fa:55:af","2022-07-01 03:46:39",11.1
"10:5b:ad:fa:55:af","2022-07-01 05:39:58",7
"10:5b:ad:fa:55:af","2022-07-01 07:33:18",28
"10:5b:ad:fa:55:af","2022-07-01 09:26:38",7.3
"10:5b:ad:fa:55:af","2022-07-01 11:19:57",11
"10:5b:ad:fa:55:af","2022-07-01 13:13:17",15.4
"10:5b:ad:fa:55:af","2022-07-01 15:06:37",24
"10:5b:ad:fa:55:af","2022-07-01 16:59:56",2.2
"10:5b:ad:fa:55:af","2022-07-01 18:53:16",9.5
"10:5b:ad:fa:55:af","2022-07-01 20:46:36",24.3
"10:5b:ad:fa:55:af","2022-07-01 22:39:55",15.4
"10:5b:ad:fa:55:af","2022-07-02 00:33:15",9.3
"10:5b:ad:fa:55:af","2022-07-02 02:26:35",33.5
"10:5b:ad:fa:55:af","2022-07-02 04:19:54",11.1
"10:5b:ad:fa:55:af","2022-07-02 06:13:14",9.3
"10:5b:ad:fa:55:af","2022-07-02 08:06:34",5.9
"10:5b:ad:fa:55:af","2022-07-02 09:59:53",4.1
"10:5b:ad:fa:55:af","2022-07-02 11:53:13",12.2
"10:5b:ad:fa:55:af","2022-07-02 13:46:33",53.1
"10:5b:ad:fa:55:af","2022-07-02 15:39:52",44.4
"10:5b:ad:fa:55:af","2022-07-02 17:33:12",1.1
"10:5b:ad:fa:55:af","2022-07-02 19:26:32",46.5
"10:5b:ad:fa:55:af","2022-07-02 21:19:51",1.1
"10:5b:ad:fa:55:af","2022-07-02 23:13:11",18.4
"10:5b:ad:fa:55:af","2022-07-03 01:06:31",16
"10:5b:ad:fa:55:af","2022-07-03 02:59:50",2.2
"10:5b:ad:fa:55:af","2022-07-03 04:53:10",7.9
"10:5b:ad:fa:55:af","2022-07-03 06:46:30",2.9
"10:5b:ad:fa:55:af","2022-07-03 08:39:49",50.5
"10:5b:ad:fa:55:af","2022-07-03 10:33:09",9.5
"10:5b:ad:fa:55:af","2022-07-03 12:26:29",22.5
"10:5b:ad:fa:55:af","2022-07-03 14:19:48",17.4
"10:5b:ad:fa:55:af","2022-07-03 16:13:08",21.2
"10:5b:ad:fa:55:af","2022-07-03 18:06:27",41.1
"10:5b:ad:fa:55:af","2022-07-03 19:59:47",15.4
"10:5b:ad:fa:55:af","2022-07-03 21:53:07",11.3
"10:5b:ad:fa:55:af","2022-07-03 23:46:26",5.1
"10:5b:ad:fa:55:af","2022-07-04 01:39:46",21.2
"10:5b:ad:fa:55:af","2022-07-04 03:33:06",46.5
"10:5b:ad:fa:55:af","2022-07-04 05:26:25",11.7
"10:5b:ad:fa:55:af","2022-07-04 07:19:45",66.2
"10:5b:ad:fa:55:af","2022-07-04 09:13:05",11
"10:5b:ad:fa:55:af","2022-07-04 11:06:24",50.3
"10:5b:ad:fa:55:af","2022-07-04 12:59:44",2.2
"10:5b:ad:fa:55:af","2022-07-04 14:53:04",11.7
"10:5b:ad:fa:55:af","2022-07-04 16:46:23",68.6
"10:5b:ad:fa:55:af","2022-07-04 18:39:43",15.1
"10:5b:ad:fa:55:af","2022-07-04 20:33:03",24
"10:5b:ad:fa:55:af","2022-07-04 22:26:22",9.7
"10:5b:ad:fa:55:af","2022-07-05 00:19:42",66.2
"10:5b:ad:fa:55:af","2022-07-05 02:13:02",37.8
"10:5b:ad:fa:55:af","2022-07-05 04:06:21",1.3
"10:5b:ad:fa:55:af","2022-07-05 05:59:41",68.6
"10:5b:ad:fa:55:af","2022-07-05 07:53:01",14.9
"10:5b:ad:fa:55:af","2022-07-05 09:46:20",37.8
